mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,split5_test_score,split6_test_score,split7_test_score,split8_test_score,split9_test_score,mean_test_score,std_test_score,rank_test_score,Experiment
0.02503371238708496,0.003718000399054771,0.005787205696105957,0.001076130452499267,1,{'n_estimators': 1},0.9823008849557522,0.9736456808199122,0.9743213499633162,0.9772893772893774,0.9793510324483776,0.9736070381231671,0.9794419970631425,0.980248719824433,0.9785344189489267,0.9837758112094395,0.9782516310645845,0.0033580809039412364,150,RW-L7: Hyperparameter tunning: RF
0.03789951801300049,0.0019942652344299406,0.007378840446472168,0.0017953937384166028,2,{'n_estimators': 2},0.9827715355805243,0.9827456864216054,0.9735849056603775,0.9865671641791044,0.9864661654135338,0.9843400447427293,0.9843633655994043,0.9880418535127055,0.983433734939759,0.9880597014925373,0.984037415754228,0.003969899230457361,149,RW-L7: Hyperparameter tunning: RF
0.05195596218109131,0.005704211754488597,0.008975720405578614,0.008077310223738025,3,{'n_estimators': 3},0.9911504424778762,0.9889786921381337,0.9889786921381337,0.9926362297496318,0.9947955390334573,0.9845474613686533,0.9904341427520236,0.991857883049593,0.9926144756277696,0.9926144756277695,0.9908608033963041,0.002701630747040005,148,RW-L7: Hyperparameter tunning: RF
0.06203916072845459,0.004755446780363068,0.0069801568984985355,0.0017844388164581894,4,{'n_estimators': 4},0.9940652818991098,0.9896449704142012,0.9955555555555555,0.9955555555555555,0.996276991809382,0.9888806523350631,0.996299037749815,0.9933085501858736,0.9955489614243324,0.994810971089696,0.9939946528018584,0.0025302729082947607,147,RW-L7: Hyperparameter tunning: RF
0.07898116111755371,0.004709792340572342,0.00817701816558838,0.001531987392569275,5,{'n_estimators': 5},0.9955621301775148,0.9904200442151805,0.9948339483394834,0.994818652849741,0.9977728285077951,0.9911504424778762,0.9963045084996305,0.9940740740740741,0.9948263118994827,0.9948186528497409,0.9944581593890518,0.002086775968674542,146,RW-L7: Hyperparameter tunning: RF
0.09475090503692626,0.012554889046580447,0.008572697639465332,0.0020469636381751383,6,{'n_estimators': 6},0.9977761304670126,0.9911242603550297,0.996299037749815,0.9955555555555555,0.9970282317979198,0.9955555555555555,0.9985163204747775,0.9955489614243324,0.9970370370370369,0.9955489614243324,0.9959990051841366,0.001904820167383633,144,RW-L7: Hyperparameter tunning: RF
0.11019225120544433,0.012986652929364682,0.008681201934814453,0.0018481473550129679,7,{'n_estimators': 7},0.9970370370370369,0.9933579335793358,0.9963045084996305,0.996299037749815,0.9962880475129918,0.9926253687315635,0.996299037749815,0.9955489614243324,0.9948263118994827,0.9933481152993349,0.9951934359483339,0.00148008976951639,145,RW-L7: Hyperparameter tunning: RF
0.12705438137054442,0.009121391688962316,0.008280372619628907,0.0013506896160991025,8,{'n_estimators': 8},0.9985163204747775,0.994818652849741,0.9962935507783544,0.996299037749815,0.9970238095238095,0.9933481152993349,0.9985163204747775,0.9962880475129918,0.9977761304670126,0.994810971089696,0.9963690956220311,0.0016001461610756296,142,RW-L7: Hyperparameter tunning: RF
0.14630966186523436,0.018852159002596586,0.011172866821289063,0.0027450968287335664,9,{'n_estimators': 9},0.9985163204747775,0.9963045084996305,0.9977794226498891,0.996299037749815,0.9977695167286245,0.9933481152993349,0.9992587101556708,0.9955489614243324,0.9970370370370369,0.994810971089696,0.9966672601108808,0.001694212126765696,137,RW-L7: Hyperparameter tunning: RF
0.17094364166259765,0.017690785548366224,0.012366342544555663,0.0033130928603437946,10,{'n_estimators': 10},0.9985163204747775,0.996299037749815,0.9977761304670126,0.996299037749815,0.9970238095238095,0.9933481152993349,0.9992587101556708,0.9955489614243324,0.9977761304670126,0.9962880475129918,0.9968134300824574,0.001587122780898463,129,RW-L7: Hyperparameter tunning: RF
0.1795208215713501,0.040456601445666214,0.01156466007232666,0.002530317276006677,11,{'n_estimators': 11},0.9985163204747775,0.9970414201183432,0.9985185185185186,0.996299037749815,0.9970282317979198,0.9933481152993349,0.9985185185185186,0.9940740740740741,0.9955621301775148,0.9955489614243324,0.9964455328153148,0.0017435834903358888,140,RW-L7: Hyperparameter tunning: RF
0.16914334297180175,0.009257027789508931,0.01107473373413086,0.003041730109422845,12,{'n_estimators': 12},0.9977728285077951,0.9970414201183432,0.9977761304670126,0.996299037749815,0.9970282317979198,0.9933481152993349,0.9985185185185186,0.9948109710896961,0.9955621301775148,0.9962880475129918,0.9964445431238943,0.0014702562234967292,141,RW-L7: Hyperparameter tunning: RF
0.1822129249572754,0.011628908674044237,0.010765910148620605,0.001985323342460625,13,{'n_estimators': 13},0.9985163204747775,0.9963045084996305,0.9977761304670126,0.9970414201183432,0.9970282317979198,0.9926144756277696,0.9977794226498891,0.994818652849741,0.9955621301775148,0.994810971089696,0.9962252263752294,0.0016983227593259957,143,RW-L7: Hyperparameter tunning: RF
0.1955810308456421,0.008841346862192116,0.011365008354187012,0.0016754372374724808,14,{'n_estimators': 14},0.9977728285077951,0.9977794226498891,0.9977761304670126,0.9977794226498891,0.9977695167286245,0.9933481152993349,0.9977794226498891,0.9970326409495549,0.996299037749815,0.994810971089696,0.9968147508741498,0.001479582642503914,128,RW-L7: Hyperparameter tunning: RF
